pen,datespan,type,critical_triggered,critical_time_before,critical_time_before_readable
Pen 1,220228_220328,outbreak,True,39.0,1d 15h
Pen 1,221003_221106,outbreak,True,70.0,2d 22h
Pen 1,221219_230125,outbreak,True,154.0,6d 10h
Pen 1,230227_230406,outbreak,True,47.0,1d 23h
Pen 1,230515_230620,outbreak,True,47.0,1d 23h
Pen 2,220228_220331,outbreak,False,,N/A
Pen 2,221003_221106,outbreak,True,50.0,2d 2h
Pen 2,230515_230621,outbreak,False,,N/A
Pen 3,220228_220330,outbreak,True,62.0,2d 14h
Pen 3,221003_221106,outbreak,True,34.0,1d 10h
Pen 3,230515_230621,outbreak,False,,N/A
Pen 4,221003_221106,outbreak,False,,N/A
Pen 4,221226_230126,outbreak,True,124.0,5d 4h
Pen 4,230227_230406,outbreak,True,96.0,4d 0h
Pen 4,230515_230621,outbreak,True,94.0,3d 22h
Pen 5,220725_220831,outbreak,True,63.0,2d 15h
Pen 5,221004_221104,outbreak,True,168.0,7d 0h
Pen 5,230515_230621,outbreak,True,13.0,13h
Pen 6,221003_221107,outbreak,True,140.0,5d 20h
Pen 6,230515_230622,outbreak,True,32.0,1d 8h
Pen 1,211228_220119,control,False,,
Pen 1,220726_220831,control,True,,
Pen 2,211227_220119,control,False,,
Pen 2,220725_220831,control,False,,
Pen 2,221219_230125,control,False,,
Pen 2,230227_230405,control,False,,
Pen 3,211222_220119,control,False,,
Pen 3,220725_220905,control,False,,
Pen 3,221219_230125,control,False,,
Pen 3,230227_230406,control,False,,
Pen 4,211229_220119,control,False,,
Pen 4,220228_220407,control,False,,
Pen 4,220725_220905,control,False,,
Pen 5,211231_220119,control,False,,
Pen 5,220228_220407,control,True,,
Pen 5,221219_230126,control,False,,
Pen 6,211230_220120,control,False,,
Pen 6,220228_220407,control,False,,
Pen 6,220725_220905,control,False,,
Pen 6,221219_230126,control,False,,
